Protein,idx
ENSP00000264027,2814
ENSP00000360310,11154
ENSP00000347038,9126
ENSP00000380489,14104
ENSP00000369465,12766
ENSP00000285379,4082
ENSP00000384894,14606
ENSP00000431813,17018
ENSP00000334665,8032
ENSP00000362354,11589
ENSP00000247020,1465
ENSP00000356015,10239
ENSP00000296702,4780
ENSP00000384996,14618
ENSP00000376309,13467
ENSP00000342216,8681
ENSP00000367034,12388
ENSP00000350052,9450
ENSP00000335560,8129
ENSP00000245206,1378
ENSP00000352608,9717
ENSP00000372067,13141
ENSP00000438262,17266
ENSP00000225719,786
ENSP00000353362,9791
ENSP00000216639,433
ENSP00000380252,14064
ENSP00000415536,16209
ENSP00000445688,17575
ENSP00000299164,4995
ENSP00000265026,2993
ENSP00000302216,5288
ENSP00000364802,12043
ENSP00000267812,3235
ENSP00000365312,12124
ENSP00000305647,5596
ENSP00000360991,11282
ENSP00000424765,16722
ENSP00000389326,15027
ENSP00000265717,3090
ENSP00000379182,13893
ENSP00000439768,17328
ENSP00000291536,4367
ENSP00000338039,8288
ENSP00000376899,13552
ENSP00000220478,571
ENSP00000300093,5084
ENSP00000338157,8291
ENSP00000405252,15778
ENSP00000418695,16398
ENSP00000314946,6409
ENSP00000400459,15547
ENSP00000360883,11264
ENSP00000261368,2317
ENSP00000378368,13779
ENSP00000215659,323
ENSP00000348453,9274
ENSP00000320318,6801
ENSP00000483228,19113
ENSP00000260952,2266
ENSP00000222122,661
ENSP00000393596,15231
ENSP00000367059,12392
ENSP00000347719,9195
ENSP00000347538,9174
ENSP00000332116,7772
ENSP00000249363,1549
ENSP00000339017,8362
ENSP00000389009,15005
ENSP00000380942,14168
ENSP00000358755,10823
ENSP00000347712,9191
ENSP00000357905,10666
ENSP00000252037,1660
ENSP00000353408,9797
ENSP00000365678,12177
ENSP00000367686,12491
ENSP00000264669,2929
ENSP00000296632,4769
ENSP00000339095,8368
ENSP00000276079,3661
ENSP00000356205,10283
ENSP00000302783,5344
ENSP00000247843,1484
ENSP00000297205,4831
ENSP00000271234,3425
ENSP00000343204,8762
ENSP00000264399,2883
ENSP00000360973,11279
ENSP00000430432,16961
ENSP00000441823,17412
ENSP00000382341,14348
ENSP00000394085,15259
ENSP00000353791,9842
ENSP00000361072,11304
ENSP00000348708,9297
ENSP00000262990,2632
ENSP00000265310,3035
ENSP00000366283,12266
ENSP00000354947,10021
ENSP00000440374,17352
ENSP00000368648,12630
ENSP00000363023,11730
ENSP00000380379,14086
ENSP00000431284,16998
ENSP00000355157,10062
ENSP00000379721,13985
ENSP00000333300,7890
ENSP00000318374,6648
ENSP00000369071,12703
ENSP00000382770,14385
ENSP00000477014,18569
ENSP00000274311,3580
ENSP00000332757,7839
ENSP00000312987,6281
ENSP00000422185,16625
ENSP00000267205,3205
ENSP00000326813,7326
ENSP00000000233,0
ENSP00000221496,623
ENSP00000300589,5131
ENSP00000369855,12836
ENSP00000476960,18568
ENSP00000370473,12928
ENSP00000484472,19217
ENSP00000221801,637
ENSP00000379601,13959
ENSP00000254730,1835
ENSP00000300051,5074
ENSP00000244050,1333
ENSP00000359245,10929
ENSP00000256460,1943
ENSP00000322238,6953
ENSP00000393379,15220
ENSP00000265734,3097
ENSP00000256797,1967
ENSP00000469223,18295
ENSP00000264335,2870
ENSP00000257627,2016
ENSP00000354020,9865
ENSP00000287322,4173
ENSP00000401435,15597
ENSP00000361777,11444
ENSP00000356920,10435
ENSP00000376417,13485
ENSP00000263228,2673
ENSP00000300175,5097
ENSP00000369755,12820
ENSP00000219169,522
ENSP00000354687,9964
ENSP00000367755,12504
ENSP00000399700,15506
ENSP00000348163,9250
ENSP00000225972,804
ENSP00000320935,6849
ENSP00000387307,14921
ENSP00000341551,8606
ENSP00000216373,409
ENSP00000357125,10490
ENSP00000272430,3484
ENSP00000220562,577
ENSP00000366673,12333
ENSP00000269571,3352
ENSP00000278568,3750
ENSP00000338862,8352
ENSP00000370208,12892
ENSP00000363708,11862
ENSP00000319255,6719
ENSP00000349612,9394
ENSP00000263207,2669
ENSP00000342952,8739
ENSP00000264995,2986
ENSP00000435835,17174
ENSP00000221452,613
ENSP00000375978,13423
ENSP00000306627,5692
ENSP00000265742,3098
ENSP00000304108,5472
ENSP00000358563,10792
ENSP00000255465,1890
ENSP00000301071,5172
ENSP00000371321,13047
ENSP00000345873,9011
ENSP00000482826,19087
ENSP00000357535,10563
ENSP00000393541,15226
ENSP00000381036,14184
ENSP00000339299,8387
ENSP00000378877,13847
ENSP00000243918,1325
ENSP00000300060,5078
ENSP00000370719,12964
ENSP00000220751,584
ENSP00000303366,5405
ENSP00000359795,11057
ENSP00000003100,9
ENSP00000405388,15783
ENSP00000402033,15635
ENSP00000370718,12963
ENSP00000203664,256
ENSP00000263817,2777
ENSP00000262375,2523
ENSP00000381234,14218
ENSP00000164024,146
ENSP00000289153,4252
ENSP00000294179,4514
ENSP00000385216,14643
ENSP00000363661,11854
ENSP00000265441,3063
ENSP00000312618,6250
ENSP00000298292,4929
ENSP00000325369,7203
ENSP00000229270,912
ENSP00000345824,9004
ENSP00000393313,15215
ENSP00000325120,7186
ENSP00000258770,2107
ENSP00000364298,11960
ENSP00000306330,5662
ENSP00000370803,12978
ENSP00000401633,15612
ENSP00000263826,2778
ENSP00000333551,7910
ENSP00000352157,9661
ENSP00000315713,6469
ENSP00000437082,17221
ENSP00000478290,18660
ENSP00000357727,10610
ENSP00000386541,14817
ENSP00000471896,18399
ENSP00000333769,7928
ENSP00000419038,16424
ENSP00000357268,10519
ENSP00000323224,7034
ENSP00000463027,18085
ENSP00000254624,1823
ENSP00000250237,1579
ENSP00000366863,12351
ENSP00000436005,17178
ENSP00000204961,264
ENSP00000377633,13655
ENSP00000339381,8394
ENSP00000403172,15684
ENSP00000347717,9194
ENSP00000253237,1748
ENSP00000265565,3073
ENSP00000380402,14088
ENSP00000357914,10670
ENSP00000218006,494
ENSP00000382239,14338
ENSP00000409952,15952
ENSP00000299166,4996
ENSP00000216484,422
ENSP00000256442,1939
ENSP00000355011,10033
ENSP00000328547,7479
ENSP00000386935,14875
ENSP00000332788,7844
ENSP00000404873,15764
ENSP00000360998,11285
ENSP00000005340,18
ENSP00000415090,16189
ENSP00000296328,4718
ENSP00000354995,10031
ENSP00000297347,4849
ENSP00000233242,1040
ENSP00000441755,17408
ENSP00000207549,283
ENSP00000204679,262
ENSP00000379210,13900
ENSP00000313603,6323
ENSP00000313422,6309
ENSP00000417764,16350
ENSP00000266458,3155
ENSP00000220676,583
ENSP00000380524,14110
ENSP00000324287,7123
ENSP00000378289,13755
ENSP00000309649,5979
ENSP00000321106,6860
ENSP00000426809,16792
ENSP00000336829,8185
ENSP00000363676,11857
ENSP00000482657,19073
ENSP00000267814,3236
ENSP00000419412,16456
ENSP00000317027,6547
ENSP00000356978,10448
ENSP00000300896,5152
ENSP00000380488,14103
ENSP00000306015,5637
ENSP00000248553,1514
ENSP00000363745,11865
ENSP00000322716,6994
ENSP00000410452,15974
ENSP00000369860,12838
ENSP00000363092,11744
ENSP00000318697,6668
ENSP00000362508,11621
ENSP00000356723,10395
ENSP00000276440,3679
ENSP00000413418,16108
ENSP00000305255,5564
ENSP00000433757,17099
ENSP00000364361,11965
ENSP00000369948,12851
ENSP00000362707,11665
ENSP00000481149,18938
ENSP00000369996,12860
ENSP00000481912,18990
ENSP00000398076,15432
ENSP00000377424,13626
ENSP00000351206,9561
ENSP00000362465,11614
ENSP00000477980,18639
ENSP00000310129,6013
ENSP00000376293,13461
ENSP00000264705,2935
ENSP00000245407,1384
ENSP00000437073,17220
ENSP00000354573,9938
ENSP00000379822,13996
ENSP00000480221,18835
ENSP00000305494,5585
ENSP00000287859,4200
ENSP00000380982,14172
ENSP00000333433,7901
ENSP00000307975,5829
ENSP00000264065,2826
ENSP00000264883,2964
ENSP00000381968,14310
ENSP00000273063,3510
ENSP00000343246,8766
ENSP00000265371,3049
ENSP00000324464,7135
ENSP00000288050,4211
ENSP00000287394,4176
ENSP00000311083,6105
ENSP00000385746,14694
ENSP00000377192,13594
ENSP00000347451,9165
ENSP00000360492,11189
ENSP00000264712,2939
ENSP00000310557,6053
ENSP00000384670,14579
ENSP00000308548,5874
ENSP00000346671,9091
ENSP00000442460,17447
ENSP00000363616,11844
ENSP00000465295,18164
ENSP00000162749,144
ENSP00000477999,18641
ENSP00000368976,12685
ENSP00000378830,13839
ENSP00000353030,9757
ENSP00000377549,13644
ENSP00000337838,8269
ENSP00000315371,6439
ENSP00000300648,5135
ENSP00000413098,16097
ENSP00000312318,6226
ENSP00000303830,5445
ENSP00000483254,19118
ENSP00000355231,10078
ENSP00000436152,17183
ENSP00000309945,5998
ENSP00000389588,15040
ENSP00000253754,1776
ENSP00000321320,6876
ENSP00000304283,5488
ENSP00000318585,6655
ENSP00000334869,8053
ENSP00000351015,9539
ENSP00000217233,462
ENSP00000310406,6038
ENSP00000262187,2480
ENSP00000261854,2417
ENSP00000386041,14728
ENSP00000482133,19006
ENSP00000356475,10344
ENSP00000399888,15516
ENSP00000295569,4616
ENSP00000308236,5844
ENSP00000383894,14477
ENSP00000356811,10411
ENSP00000301764,5247
ENSP00000296161,4700
ENSP00000437256,17223
ENSP00000402084,15638
ENSP00000347140,9134
ENSP00000383303,14440
ENSP00000283131,3976
ENSP00000331504,7713
ENSP00000355599,10154
ENSP00000269289,3332
ENSP00000360671,11224
ENSP00000327268,7357
ENSP00000220429,570
ENSP00000388996,15004
ENSP00000378260,13750
ENSP00000297508,4864
ENSP00000358223,10724
ENSP00000363603,11842
ENSP00000295240,4591
ENSP00000264279,2866
ENSP00000281882,3906
ENSP00000355377,10104
ENSP00000320604,6826
ENSP00000259469,2162
ENSP00000296694,4778
ENSP00000464265,18131
ENSP00000434024,17108
ENSP00000327246,7354
ENSP00000366098,12236
ENSP00000357702,10601
ENSP00000334563,8024
ENSP00000286548,4134
ENSP00000268989,3312
ENSP00000380414,14090
ENSP00000360497,11191
ENSP00000478610,18693
ENSP00000360195,11127
ENSP00000363817,11878
ENSP00000303758,5439
ENSP00000360994,11283
ENSP00000366299,12268
ENSP00000480960,18912
ENSP00000480916,18909
ENSP00000365777,12193
ENSP00000483570,19154
ENSP00000311135,6110
ENSP00000228841,888
ENSP00000319096,6703
ENSP00000367631,12483
ENSP00000398516,15450
ENSP00000233099,1033
ENSP00000414378,16151
ENSP00000396615,15358
ENSP00000321606,6907
ENSP00000306449,5673
ENSP00000311291,6123
ENSP00000468956,18284
ENSP00000326170,7268
ENSP00000434676,17132
ENSP00000284274,4030
ENSP00000402257,15646
ENSP00000402154,15644
ENSP00000352673,9725
ENSP00000451752,17772
ENSP00000280155,3815
ENSP00000306275,5658
ENSP00000229758,935
ENSP00000350310,9475
ENSP00000291700,4384
ENSP00000272369,3477
ENSP00000227322,841
ENSP00000444357,17523
ENSP00000232219,1011
ENSP00000272198,3460
ENSP00000379644,13967
ENSP00000296597,4766
ENSP00000251775,1647
ENSP00000404296,15742
ENSP00000297258,4832
ENSP00000326804,7324
ENSP00000479461,18767
ENSP00000437041,17219
ENSP00000426741,16791
ENSP00000460348,18027
ENSP00000427514,16819
ENSP00000349467,9374
ENSP00000442307,17436
ENSP00000465589,18171
ENSP00000281741,3898
ENSP00000230431,958
ENSP00000277010,3705
ENSP00000358022,10687
ENSP00000478639,18695
ENSP00000383023,14412
ENSP00000408617,15914
ENSP00000473631,18465
ENSP00000370842,12983
ENSP00000369400,12753
ENSP00000418960,16417
ENSP00000459799,18021
ENSP00000265038,2996
ENSP00000456868,17949
ENSP00000242375,1274
ENSP00000450909,17738
ENSP00000382428,14355
ENSP00000395772,15329
ENSP00000316454,6504
ENSP00000205194,267
ENSP00000451828,17777
ENSP00000329214,7531
ENSP00000478059,18646
ENSP00000269202,3326
ENSP00000349446,9370
ENSP00000379683,13975
ENSP00000350386,9489
ENSP00000351805,9633
ENSP00000418397,16379
ENSP00000367346,12446
ENSP00000306361,5665
ENSP00000357759,10623
ENSP00000261514,2347
ENSP00000216129,373
ENSP00000356243,10293
ENSP00000369681,12805
ENSP00000444201,17517
ENSP00000371084,13015
ENSP00000258613,2099
ENSP00000376921,13556
ENSP00000356825,10414
ENSP00000223641,744
ENSP00000217131,454
ENSP00000321388,6888
ENSP00000260361,2227
ENSP00000405812,15801
ENSP00000382972,14406
ENSP00000216038,357
ENSP00000323435,7051
ENSP00000435355,17152
ENSP00000464383,18137
ENSP00000310149,6014
ENSP00000370194,12888
ENSP00000357879,10656
ENSP00000216106,366
ENSP00000234347,1081
ENSP00000251337,1622
ENSP00000365730,12187
ENSP00000263181,2663
ENSP00000280706,3846
ENSP00000357594,10576
ENSP00000378920,13855
ENSP00000374455,13319
ENSP00000383333,14441
ENSP00000215957,350
ENSP00000366307,12270
ENSP00000284287,4031
ENSP00000225298,764
ENSP00000415454,16205
ENSP00000380602,14119
ENSP00000368881,12670
ENSP00000331678,7729
ENSP00000318480,6653
ENSP00000314029,6355
ENSP00000385385,14654
ENSP00000460823,18033
ENSP00000306614,5690
ENSP00000332111,7771
ENSP00000273317,3526
ENSP00000265433,3060
ENSP00000276202,3667
ENSP00000254963,1855
ENSP00000244537,1356
ENSP00000386398,14797
ENSP00000297814,4892
ENSP00000265970,3123
ENSP00000245787,1398
ENSP00000481029,18923
ENSP00000264606,2912
ENSP00000397927,15425
ENSP00000300504,5123
ENSP00000375894,13412
ENSP00000306496,5678
ENSP00000377250,13600
ENSP00000408342,15905
ENSP00000332530,7815
ENSP00000435466,17161
ENSP00000379847,14004
ENSP00000407422,15872
ENSP00000463393,18105
ENSP00000385968,14722
ENSP00000467107,18229
ENSP00000416696,16260
ENSP00000381250,14221
ENSP00000357791,10635
ENSP00000397261,15398
ENSP00000479861,18803
ENSP00000362711,11667
ENSP00000243563,1313
ENSP00000168216,160
ENSP00000367615,12480
ENSP00000324775,7159
ENSP00000340874,8532
ENSP00000370023,12866
ENSP00000372445,13172
ENSP00000325485,7212
ENSP00000355361,10101
ENSP00000379412,13937
ENSP00000323858,7087
ENSP00000382213,14334
ENSP00000257770,2022
ENSP00000357697,10600
ENSP00000373696,13254
ENSP00000385347,14651
ENSP00000222725,704
ENSP00000300026,5071
ENSP00000423673,16678
ENSP00000365961,12220
ENSP00000288078,4214
ENSP00000432119,17031
ENSP00000263177,2662
ENSP00000411145,16017
ENSP00000362639,11652
ENSP00000323913,7095
ENSP00000346280,9053
ENSP00000484288,19207
ENSP00000257863,2031
ENSP00000370737,12967
ENSP00000357909,10669
ENSP00000386156,14747
ENSP00000220809,588
ENSP00000294309,4519
ENSP00000356599,10373
ENSP00000265720,3091
ENSP00000265138,3019
ENSP00000373487,13231
ENSP00000395654,15324
ENSP00000361275,11340
ENSP00000230990,972
ENSP00000378743,13829
ENSP00000398882,15477
ENSP00000370589,12947
ENSP00000252102,1666
ENSP00000297439,4858
ENSP00000269209,3327
ENSP00000276414,3675
ENSP00000288937,4243
ENSP00000354721,9972
ENSP00000337797,8265
ENSP00000368165,12566
ENSP00000264670,2930
ENSP00000262622,2567
ENSP00000222388,682
ENSP00000463752,18112
ENSP00000169298,162
ENSP00000320239,6794
ENSP00000399745,15510
ENSP00000283351,3995
ENSP00000300688,5140
ENSP00000359552,11005
ENSP00000265986,3127
ENSP00000400972,15575
ENSP00000405012,15768
ENSP00000478490,18679
ENSP00000312081,6200
ENSP00000331065,7672
ENSP00000465930,18181
ENSP00000233623,1051
ENSP00000367123,12402
ENSP00000366157,12243
ENSP00000305790,5614
ENSP00000299529,5031
ENSP00000363868,11887
ENSP00000397082,15387
ENSP00000436552,17193
ENSP00000231454,990
ENSP00000295095,4572
ENSP00000296411,4725
ENSP00000377566,13646
ENSP00000343925,8824
ENSP00000241337,1254
ENSP00000320649,6829
ENSP00000236709,1122
ENSP00000355195,10070
ENSP00000262418,2530
ENSP00000408025,15894
ENSP00000287957,4206
ENSP00000246515,1437
ENSP00000382423,14354
ENSP00000275034,3627
ENSP00000254958,1854
ENSP00000320866,6842
ENSP00000352444,9696
ENSP00000359693,11042
ENSP00000362399,11599
ENSP00000356297,10303
ENSP00000225655,782
ENSP00000263657,2744
ENSP00000431049,16988
ENSP00000368314,12586
ENSP00000254878,1847
ENSP00000377664,13658
ENSP00000485028,19263
